0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610
My Hero Academia,This Is Us,The Handmaid's Tale,Killing Eve,Normal People,Demon Slayer: Kimetsu no Yaiba,What We Do in the Shadows,Good Girls,The Promised Neverland,Legion,Atlanta,Taboo,11.22.63,Snowfall,Riverdale,9-1-1,The Great,The Orville,Preacher,Zoey's Extraordinary Playlist,The Terror,The Good Doctor,Dirk Gently's Holistic Detective Agency,Ramy,The Act,Timeless,Castle Rock,Devs,Little Fires Everywhere,Mayans M.C.,Debris,New Amsterdam,Mrs. America,Marvel's Runaways,Mr Inbetween,Lethal Weapon,"Love, Victor",Prodigal Son,Future Man,The Exorcist,DAVE,Shadowhunters,Manifest,The Gifted,The Rookie,Young Rock,PEN15,Better Things,Letterkenny,Queen Sugar,The Resident,Cardinal,ERASED,Marvel's Cloak &amp; Dagger,Catch-22,Looking for Alaska,Horace and Pete,Genius,Brockmire,The Looming Tower,Stumptown,Black Clover,Harlots,Good Behavior,The Split,A Million Little Things,For Life,Big Sky,Staged,S.W.A.T.,Breeders,High Fidelity,Solar Opposites,Motherland: Fort Salem,Chance,The Detour,Rascal Does Not Dream of Bunny Girl Senpai,Kaguya-sama: Love is War,Boruto: Naruto Next Generations,9-1-1: Lone Star,Harrow,Wu-Tang: An American Saga,SIX,Leah Remini: Scientology and the Aftermath,A Teacher,Trust,NOS4A2,Good Trouble,Baskets,Das Boot,The Son,Pitch,Pretty Little Liars: The Perfectionists,Underground,Mary Kills People,Lodge 49,Animaniacs,Angie Tribeca,I Am the Night,Shrill,Claws,Brassic,Fosse/Verdon,Mr. Mayor,The Bold Type,This Way Up,The Path,American Housewife,NEXT,The Great North,Treadstone,Siren,The Purge,Transplant,Fire Force,The Long Road Home,Descendants of the Sun,The Mick,Station 19,The Conners,Single Parents,Dollface,60 Days In,Walker,Fruits Basket,Taken,Second Chance,The Hardy Boys,Reprisal,The Kids Are Alright,Hamilton's Pharmacopeia,Barkskins,The First,Dark Side of the Ring,The Guest Book,Everything's Gonna Be Okay,mixed-ish,Deutschland 86,Apple Tree Yard,While You Were Sleeping,Into the Dark,Time After Time,24: Legacy,Shut Eye,Songland,LEGO Masters,Ghosted,The Food That Built America,Clique,The Masked Singer,Mushoku Tensei: Jobless Reincarnation,The Legend of the Blue Sea,Jersey Shore: Family Vacation,Stan Against Evil,Speechless,Shots Fired,What's Wrong with Secretary Kim,Burden of Truth,grown-ish,National Treasure,Dimension 404,How Not to Summon a Demon Lord,Bad Banks,Holey Moley,Four Weddings and a Funeral,Kenan,Light as a Feather,Star,Woke,No Man's Land,The Four: Battle for Stardom,Justice League Action,MEGALOBOX,Helstrom,Gordon Ramsay's 24 Hours to Hell and Back,Damien,The Secret of Skinwalker Ranch,Call Me Kat,Taste the Nation with Padma Lakshmi,Duncanville,Home Town,The Wine Show,The UnXplained,Haven't You Heard? I'm Sakamoto,Grimgar of Fantasy and Ash,Deutschland 89,Bless the Harts,BuzzFeed Unsolved - True Crime,Alone Together,The New York Times Presents,Midnight Sun,OK K.O.! Let's Be Heroes,Hard Sun,Making It,Marlon,The Bisexual,Filthy Rich,Zac &amp; Mia,Digimon Adventure:,The Most Dangerous Animal of All,The Circus,The Accident,Toilet-Bound Hanako-kun,Sword Art Online Alternative: Gun Gale Online,Utopia Falls,Dietland,1000-lb Sisters,Arifureta: From Commonplace to World's Strongest,Black Narcissus,Devils' Line,Akudama Drive,Everyone Is Doing Great,Champions,Angels of Death,Bluff City Law,GameFace,The Sister,The Titan Games,The Hustler,Graves,Bloom,Trafficked with Mariana van Zeller,Son of Zorn,Dice,Wise Man’s Grandchild,Lincoln: Divided We Stand,Just Between Lovers,Devil May Care,Hang Ups,City So Real,Hillary,Abandoned,Kids Say the Darndest Things,Pure,Hip Hop Uncovered,OutDaughtered,Astra Lost in Space,Saints &amp; Sinners,Buzzfeed Unsolved - Supernatural,Dr. Pimple Popper,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",90 Day Fiancé: The Other Way,Deca-Dence,90 Day Fiancé: Before the 90 Days,An American Murder Mystery: The Staircase,The Lowe Files,Southern Gothic,Good Eats: Reloaded,ID: INVADED,Yashahime: Princess Half-Demon,Ultraviolet,Barbarians Rising,Crossing Swords,Trust Me,Monsterland,The Last Defense,Find Me in Paris,Castaways,90 Day Fiancé: Happily Ever After?,Baghdad Central,No Activity,A Wilderness of Error,Call Your Mother,Nurses,Kiri,The Smile Has Left Your Eyes,Card Captor Sakura: Clear Card,Kono Oto Tomare!: Sounds of Life,Zomboat!,Love Island Australia,Witches of Salem,Jeopardy! The Greatest of All Time,Still 17,The Chase,Plunderer,Little Women: Atlanta,Freakish,To Tell the Truth,Dragon Quest: The Adventure of Dai,The Genetic Detective,Law &amp; Order True Crime,"I Love You, America",Dagashi Kashi,In My Skin,Momma Named Me Sheriff,The First 48 Presents: Homicide Squad Atlanta,Sherman's Showcase,The Aliens,I Am Frankie,Worth It,Butterfly,Casey Anthony: An American Murder Mystery,The Menendez Murders: Erik Tells All,Marrying Millions,Jann,Murder in the Heartland,Stars Align,My Feet Are Killing Me,Cults and Extreme Belief,Little Big Shots,Match Game,World of Dance,"Demon Lord, Retry!",Feed the Beast,No Guns Life,D.Gray-man Hallow,A Very Brady Renovation,Below the Surface,Ellen's Game of Games,Cherries Wild,Ruyi's Royal Love in the Palace,Forged in Fire: Beat the Judges,Arte,Cake,Rock the Block,Our Cartoon President,The Wall,Senryu Girl,Jodi Arias: An American Murder Mystery,Maxxx,Kings of Pain,Dream Corp LLC,Children of the Snow,"Bad Habits, Holy Orders",Property Brothers: Forever Home,Wasted,Game of Talents,Party of Five,Undefeated Bahamut Chronicle,Total Bellas,Celebs Go Dating,Genius Junior,Boy Band,Driven,Miz &amp; Mrs,Unikitty!,Bong Appétit,The Murder of Laci Peterson,Trolls: TrollsTopia,Appare-Ranman!,Rob Riggle Global Investigator,Indebted,Don't,Celebrity Wheel of Fortune,Welcome to Plathville,Gap Year,The Real Housewives of Potomac,Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Who Killed Jeffrey Epstein?,Diesel Brothers,Hakumei and Mikochi,Holly Hobbie,Unexpected,The Con,All Night,Torn from the Headlines: The New York Post Reports,Urara Meirocho,1969,Mythbusters Jr.,Bloque de Búsqueda,90 Day Fiancé: Self-Quarantined,The Case That Haunts Me,The School That Tried to End Racism,Taken at Birth,Hidden Potential,The Golden State Killer: It's Not Over,Love in the Time of Corona,Name That Tune,Chio's School Road,Endlings,I Can See Your Voice,The Dude Perfect Show,Who Wants to Be a Millionaire,Atlas Of Cursed Places,The Powerpuff Girls,Girls Beyond the Wasteland,Love Connection,Lost Gold of World War II,The Paynes,The Riveras,Inside the Criminal Mind,Press Your Luck,Hitler's Last Stand,Cold Valley,The 1990s: The Deadliest Decade,"Oh Jerome, No",Struggle Meals,Ladhood,Twisted Sisters,Unpolished,Killer Unknown,Afterlost,The Show Must Go On: The Queen + Adam Lambert Story,Supermarket Stakeout,Britain's Best Home Cook,Azur Lane,Save My Skin,Dies Irae,Connecting...,Chandra Levy: An American Murder Mystery,Pamela Smart: An American Murder Mystery,The Boonies,Ancient Top 10,Where's Waldo?,Buried secrets of World War II,A Little Late with Lilly Singh,The Masked Dancer,The Other Guy,"The $100,000 Pyramid",The Happy Days of Garry Marshall,BEM,Street Outlaws: Memphis,Eater's Guide to the World,Murder on the Internet,Mix: Meisei Story,Container Homes,Paradise Run,Buddy vs. Duff,Dead By Dawn,Sorcerous Stabber Orphen,The Toe Bro,Worst Bakers in America,Dress to Impress,Filthy Rich,The Last Days of Phil Hartman,Kids Behind Bars: Life or Parole,VICE Investigates,Blood Runs Cold,Spartan: Ultimate Team Challenge,Best Baker in America,Sweet Home Sextuplets,Card Sharks,Master Distiller,Madagascar: A Little Wild,Christina on the Coast,WTF Baron Davis,The Mighty Ones,Many Sides of Jane,60 Days In: Narcoland,Twisted Love,Natalie Wood: An American Murder Mystery,Special 7: Special Crime Investigation Unit,Bride Killa,Infinite Dendrogram,Dot.,Eva La Trailera,A3!,The Proposal,Return to Downton Abbey: A Grand Event,The Burger Show,O.J. Simpson: The Lost Confession?,Jamie's Quick &amp; Easy Food,Star Wars Galaxy's Edge: Adventure Awaits,Smile Down the Runway,Woman,Deadly Legacy,The Bravest Knight,Born Behind Bars,Supermarket Sweep,Ranger Rob,Open Door,Steve Harvey's Funderdome,The Weekly,The Interrogation Room,The Family Chantel,Cooks vs. Cons,Beyond the Headlines: The College Admissions Scandal with Gretchen Carlson,Nightcap,THE REFLECTION,Bakers vs. Fakers,Til Death Do Us Part,205 Live,Future-Worm!,After School Dice Club,Corazón Valiente,Dinner with Dad,The Untold Story,Homocide City: Charlotte,Holiday Magic,Family By the Ton,Phenoms,ClassicaLoid,Mickey's 90th Spectacular,Man vs. Master: Chef Battle,Activate: The Global Citizen Movement,Life of Kylie,Grey's Anatomy: B-Team,Terrific Trucks,Truth &amp; Iliza,Cuomo Prime Time,The Grill Dads,Fill in the Prank,HobbyKids Adventures,Morphle,Bride and Prejudice: Forbidden Love,Cold Hearted,Consumer 101,The Making of Frozen: A Return to Arendelle,Bake You Rich,Gordon Ramsay's American Road trip,Glam Masters,Iconic Characters,My Knight and Me,Ellen's Greatest Night of Giveaways,Strahan &amp; Sara,Absolutely Ascot,The Posh Frock Shop,Sean in the Wild,Vets Saving Pets,On the Run Eating,Kids Halloween Baking Championship,We Day 2017,CoComelon,The Alec Baldwin Show,What's New With Hulu,Top 30,Page Six TV,The 76th Annual Golden Globe Awards,Grey's Anatomy: Post-Op,Superstructures: Engineering Marvels,31 Nights of Halloween Fan Fest,Behind Tasty,Paranormal Lockdown UK,Ultimate Survival WWII,#ThatsHarassment,Ryan's World Specials presented by pocket.watch,Election Cycle,A Brief History,GMA Day,Tinder Takeover,48 Hours with Kygo,It's Alive with Brad,Sad Hot Girls,pocket.watch HobbyKidsTV mishmash,Scott Peterson: An American Murder Mystery,Style Evolution,Almost Impossible,pocket.watch EvanTubeHD mishmash,Modern Baby,Going Si-ral,"I Draw, You Cook",Dessert Games,Savage Kingdom,pocket.watch Ryan Toys Review Ultimate mishmash,Drag Me,Mom In Progress,Fear Box,pocket.watch JillianTubeHD Ultimate mishmash,Eating Your Feed,Trials of the Wild,Andy Explores,Rosaline,Finding the Next,Truth and Lies: Watergate,WildWoods,Hello World,Summertime,TRANsitioning,Wilderness Vet,A Murder on Orchard Street,ESL: Defining Moments,The Big Vote,Blissful Thinking,Handcrafted,pocket.watch CaptainSparklez mishmash,Around The Way,Tasty 101,Bondi Harvest,Health + Happiness with Mayo Clinic,On This Day in Black History Month,Ayesha's Home Kitchen,ESL Bootcamp: Immortals,Legendary Catch,BBQuest,Fantasy Forecast,The Champion Within,24 Hours With,Strait Talk with Matt &amp; LZ,Technique Critique,Derek Does Stuff with a Friend,Caption Contest,Heart of a Champion,Revolt,Kids Try,Triumph,Twitter Tech Support,ABC News | Features,On Stage,The Adventures of Dr. Buckeye Bottoms,Time for Bed with Punam Patel,A Woman's Job,Get Sweaty,Obsessed (WIRED),WIRED's Autocomplete Interviews,Talks at GS,ESL: Replay,Newsy,ESL: Player vs Player,"Stop, Breathe &amp; Think Kids: Mindful Games",Bioterrorism: The Truth,Epic Conversations,Sophie La Girafe,5 Levels,ABC News | Garage Geniuses,Jeremiah Bullfrog Forks It,Mujeres Rompiendo el Silencio,Real Estate with Rosanna,Lost in the Supermarket,Untamed with Filipe DeAndrade,Chief Kim,Secret Talent Theatre
2016,2016,2017,2018,2020,2019,2019,2018,2019,2017,2016,2017,2016,2017,2017,2018,2020,2017,2016,2020,2018,2017,2016,2019,2019,2016,2018,2020,2020,2018,2021,2018,2020,2017,2018,2016,2020,2019,2017,2016,2020,2016,2018,2017,2018,2021,2019,2016,2016,2016,2018,2017,2016,2018,2019,2019,2016,2017,2017,2018,2019,2017,2017,2016,2018,2018,2020,2020,2020,2017,2020,2020,2020,2020,2016,2016,2018,2019,2017,2020,2018,2019,2017,2016,2020,2018,2019,2019,2016,2018,2017,2016,2019,2016,2017,2018,2020,2016,2019,2019,2017,2019,2019,2021,2017,2019,2016,2016,2020,2021,2019,2018,2018,2020,2019,2017,2016,2017,2018,2018,2018,2019,2016,2021,2019,2017,2016,2020,2019,2018,2016,2020,2018,2019,2017,2020,2019,2018,2017,2017,2018,2017,2017,2016,2019,2020,2017,2019,2017,2019,2021,2016,2018,2016,2016,2017,2018,2018,2018,2016,2017,2018,2018,2019,2019,2021,2018,2016,2020,2020,2018,2016,2018,2020,2018,2016,2020,2021,2020,2020,2016,2016,2019,2016,2016,2020,2019,2016,2018,2020,2016,2017,2018,2018,2017,2018,2020,2017,2020,2020,2016,2019,2020,2018,2020,2018,2020,2019,2020,2018,2020,2021,2018,2018,2019,2017,2020,2019,2021,2016,2019,2020,2016,2016,2019,2021,2017,2021,2018,2020,2020,2016,2019,2017,2021,2016,2019,2016,2016,2018,2020,2019,2020,2017,2018,2017,2020,2018,2020,2020,2017,2016,2020,2017,2020,2018,2018,2018,2016,2020,2017,2020,2021,2020,2018,2018,2018,2019,2019,2018,2019,2020,2018,2021,2020,2016,2016,2016,2020,2020,2017,2017,2016,2020,2019,2019,2019,2016,2017,2016,2018,2017,2017,2019,2019,2017,2019,2020,2018,2016,2016,2017,2019,2016,2019,2016,2019,2017,2017,2021,2018,2020,2020,2019,2019,2018,2016,2019,2018,2020,2019,2016,2019,2017,2019,2016,2021,2020,2016,2016,2016,2018,2017,2020,2018,2017,2016,2017,2020,2020,2020,2020,2020,2021,2019,2017,2016,2019,2020,2016,2018,2018,2017,2020,2018,2020,2017,2019,2019,2016,2020,2018,2020,2019,2018,2018,2020,2021,2018,2020,2020,2016,2020,2020,2016,2016,2017,2019,2018,2016,2018,2019,2018,2018,2018,2019,2017,2019,2018,2019,2018,2019,2019,2019,2018,2019,2020,2017,2020,2017,2018,2016,2016,2020,2019,2019,2020,2017,2016,2020,2019,2018,2020,2017,2019,2016,2016,2019,2019,2020,2019,2016,2017,2016,2019,2019,2019,2018,2016,2017,2018,2019,2019,2020,2019,2019,2020,2019,2019,2020,2018,2019,2018,2020,2016,2017,2020,2018,2019,2018,2018,2017,2019,2020,2016,2018,2019,2017,2019,2016,2019,2017,2019,2018,2019,2016,2019,2016,2017,2016,2019,2016,2016,2019,2017,2017,2019,2019,2017,2018,2018,2016,2018,2019,2019,2017,2018,2016,2017,2017,2017,2017,2019,2019,2020,2018,2018,2016,2019,2021,2018,2018,2016,2019,2019,2018,2018,2017,2018,2018,2016,2017,2018,2018,2019,2017,2017,2019,2017,2019,2019,2017,2018,2019,2018,2019,2016,2016,2018,2016,2019,2018,2017,2018,2017,2018,2017,2018,2019,2016,2018,2017,2016,2018,2020,2018,2018,2018,2018,2018,2019,2016,2016,2017,2017,2016,2016,2017,2016,2017,2017,2018,2017,2017,2018,2019,2016,2018,2018,2019,2017,2017,2019,2018,2016,2017,2018,2016,2016,2016,2017,2016,2017,2016,2016,2017,2016,2017,2017,2017,2017,2016,2017,2016,2017,2017,2016,2017,2017,2016,2016,2017,2017,2016,2017,2017,2017,2016,2017,2017,2016
8.5,8.7,8.4,8.3,8.5,8.7,8.5,7.8,8.7,8.2,8.6,8.4,8.2,8.1,6.9,7.7,8.1,8.0,8.0,8.2,8.0,8.2,8.3,8.1,8.0,7.7,7.6,7.7,7.7,7.6,6.4,8.1,7.9,7.0,8.4,7.9,8.1,7.7,7.7,8.0,8.4,6.6,7.2,7.3,8.0,6.7,8.0,7.8,8.7,7.7,7.7,7.7,8.5,6.7,7.8,8.1,8.5,8.4,8.1,8.0,7.5,8.1,7.7,8.1,7.7,8.0,7.6,6.6,8.6,7.0,7.3,7.7,8.0,7.1,7.7,7.8,8.1,8.4,7.0,6.7,7.6,8.3,7.3,9.1,6.9,7.6,6.7,7.5,7.6,7.4,7.5,7.4,7.1,7.8,7.5,7.6,7.9,7.0,7.0,7.4,7.4,8.3,7.9,6.2,8.0,7.8,7.3,7.4,6.7,6.4,7.0,7.0,6.5,7.9,7.7,7.5,8.3,7.8,6.6,5.3,7.1,7.4,7.7,5.8,8.4,6.6,7.5,6.9,7.5,7.9,8.9,7.3,6.7,8.7,7.2,7.3,6.3,7.6,7.2,8.4,6.4,6.7,6.2,7.4,8.0,7.3,6.3,8.5,7.0,6.2,8.7,8.1,6.7,7.3,7.6,6.5,8.1,7.3,6.4,7.4,6.6,7.1,8.0,7.0,7.2,5.2,6.6,6.7,6.4,7.7,4.2,7.6,7.8,6.8,7.4,6.9,6.1,4.7,8.3,5.9,7.9,8.9,7.3,7.2,7.5,7.8,5.2,8.9,6.5,6.8,7.5,7.1,6.6,8.0,7.1,6.3,6.1,7.9,7.5,6.3,7.0,6.2,7.4,6.8,5.3,6.5,5.3,6.9,5.8,6.9,7.4,7.2,6.1,6.4,6.8,7.8,5.7,7.1,7.5,6.6,6.7,8.4,6.8,7.5,6.8,7.4,8.2,6.2,6.4,7.5,6.4,8.5,3.2,7.1,7.3,7.0,8.1,7.5,8.7,6.6,7.5,6.8,7.1,6.8,7.5,6.9,6.2,8.8,7.6,7.4,7.0,7.8,6.6,7.0,5.5,7.3,7.3,6.3,6.3,7.3,6.8,6.5,5.1,5.6,6.7,7.5,8.0,7.8,7.0,5.4,7.3,8.7,7.8,6.4,6.3,5.3,6.4,6.3,8.2,7.5,7.4,5.8,6.2,7.5,6.1,8.4,6.2,6.1,6.2,8.7,6.4,7.2,7.4,4.9,7.0,7.6,7.1,6.6,7.5,7.3,6.1,7.2,6.7,6.7,6.8,7.7,8.1,7.3,5.0,4.4,7.7,8.4,6.9,6.2,6.6,5.1,6.0,7.0,7.1,6.4,6.6,7.2,7.2,7.0,6.5,7.4,4.3,5.4,6.5,5.8,5.6,7.6,5.5,7.6,6.4,5.6,7.9,7.4,7.0,6.9,7.3,4.5,5.6,7.2,5.3,7.0,4.8,7.4,6.1,6.5,7.3,6.6,5.2,6.9,5.8,6.9,7.4,7.0,6.9,7.9,5.1,7.8,N/A,8.3,6.9,6.8,5.8,4.5,7.4,4.6,5.7,6.7,6.1,5.6,3.6,5.3,N/A,6.4,4.9,7.5,5.4,6.2,6.3,7.2,7.9,8.0,N/A,7.2,6.8,5.4,7.1,5.6,7.8,6.6,8.0,5.7,N/A,4.7,5.0,6.5,6.6,7.3,7.9,7.5,7.2,1.6,3.9,6.9,6.2,8.2,6.0,6.5,6.9,6.9,7.5,6.2,6.1,5.2,7.2,5.7,7.9,6.1,5.9,7.2,7.8,7.1,6.7,7.3,5.9,N/A,6.2,5.3,8.6,6.4,3.3,8.0,7.4,6.0,6.1,6.1,6.5,6.5,7.1,5.9,7.1,7.3,6.6,1.8,6.5,7.7,6.7,8.3,5.3,6.8,7.3,N/A,6.4,8.1,4.6,6.3,6.3,7.3,6.6,7.7,2.9,5.4,5.3,5.0,6.0,6.7,6.5,7.1,5.4,6.8,N/A,N/A,7.3,7.6,7.0,6.2,7.5,6.4,7.0,7.5,5.5,3.6,N/A,5.9,5.5,4.6,7.6,6.2,2.6,4.2,N/A,6.8,4.5,7.1,3.8,N/A,4.5,6.8,4.4,4.9,3.5,N/A,8.3,7.5,7.2,N/A,5.8,5.5,N/A,3.3,N/A,5.9,4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,89,89,88,86,86,85,85,85,85,84,84,83,83,83,82,82,82,81,81,80,80,80,79,79,78,78,78,78,78,78,77,77,77,77,77,77,77,76,76,76,76,76,76,76,75,75,75,75,75,75,74,74,74,74,74,74,73,73,73,73,73,73,72,72,72,72,72,71,71,71,71,71,71,71,71,71,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69,69,69,69,69,69,68,68,68,68,68,68,68,68,68,68,68,68,67,67,67,67,67,67,67,67,67,66,66,66,66,66,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,63,63,63,63,63,63,63,62,62,62,62,62,62,62,62,62,62,61,61,61,61,61,61,61,61,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,52,52,52,52,52,52,52,52,52,52,51,51,51,51,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,38,38,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,35,35,35,35,35,34,34,34,34,34,34,33,33,33,33,33,32,32,32,32,31,31,31,31,31,31,31,30,30,30,30,29,29,29,29,28,27,27,26,24,24,23,23,22,22,21,21,21,21,20,20,20,19,18,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
